"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
20286,158,"NLD","Netherlands",8,"Noord-Brabant",233,"Mierlo"," "," ","Gemeente","Municipality"
20287,158,"NLD","Netherlands",8,"Noord-Brabant",234,"Mill en Sint Hubert"," "," ","Gemeente","Municipality"
20288,158,"NLD","Netherlands",8,"Noord-Brabant",235,"Moerdijk"," ","Zevenbergen","Gemeente","Municipality"
20289,158,"NLD","Netherlands",8,"Noord-Brabant",236,"Nuenen c.a."," "," ","Gemeente","Municipality"
20290,158,"NLD","Netherlands",8,"Noord-Brabant",237,"Oirschot"," "," ","Gemeente","Municipality"
20291,158,"NLD","Netherlands",8,"Noord-Brabant",238,"Oisterwijk"," "," ","Gemeente","Municipality"
20292,158,"NLD","Netherlands",8,"Noord-Brabant",239,"Oosterhout"," "," ","Gemeente","Municipality"
20293,158,"NLD","Netherlands",8,"Noord-Brabant",240,"Oss"," "," ","Gemeente","Municipality"
20294,158,"NLD","Netherlands",8,"Noord-Brabant",241,"Reusel-De Mierden"," "," ","Gemeente","Municipality"
20295,158,"NLD","Netherlands",8,"Noord-Brabant",242,"Roosendaal"," "," ","Gemeente","Municipality"
20296,158,"NLD","Netherlands",8,"Noord-Brabant",243,"Rucphen"," "," ","Gemeente","Municipality"
20297,158,"NLD","Netherlands",8,"Noord-Brabant",244,"Schijndel"," "," ","Gemeente","Municipality"
20298,158,"NLD","Netherlands",8,"Noord-Brabant",245,"Sint-Michielsgestel"," "," ","Gemeente","Municipality"
20299,158,"NLD","Netherlands",8,"Noord-Brabant",246,"Sint-Oedenrode"," "," ","Gemeente","Municipality"
20300,158,"NLD","Netherlands",8,"Noord-Brabant",247,"Sint Anthonis"," "," ","Gemeente","Municipality"
20301,158,"NLD","Netherlands",8,"Noord-Brabant",248,"Someren"," "," ","Gemeente","Municipality"
20302,158,"NLD","Netherlands",8,"Noord-Brabant",249,"Son en Breugel"," "," ","Gemeente","Municipality"
20303,158,"NLD","Netherlands",8,"Noord-Brabant",250,"Steenbergen"," "," ","Gemeente","Municipality"
20304,158,"NLD","Netherlands",8,"Noord-Brabant",251,"Tilburg"," "," ","Gemeente","Municipality"
20305,158,"NLD","Netherlands",8,"Noord-Brabant",252,"Uden"," "," ","Gemeente","Municipality"
20306,158,"NLD","Netherlands",8,"Noord-Brabant",253,"Valkenswaard"," "," ","Gemeente","Municipality"
20307,158,"NLD","Netherlands",14,"Zuid-Holland",469,"Sassenheim"," "," ","Gemeente","Municipality"
20308,158,"NLD","Netherlands",14,"Zuid-Holland",470,"Schiedam"," "," ","Gemeente","Municipality"
20309,158,"NLD","Netherlands",14,"Zuid-Holland",471,"Schipluiden"," "," ","Gemeente","Municipality"
20310,158,"NLD","Netherlands",14,"Zuid-Holland",472,"Schoonhoven"," "," ","Gemeente","Municipality"
20311,158,"NLD","Netherlands",14,"Zuid-Holland",473,"Sliedrecht"," "," ","Gemeente","Municipality"
20312,158,"NLD","Netherlands",14,"Zuid-Holland",474,"Spijkenisse"," "," ","Gemeente","Municipality"
20313,158,"NLD","Netherlands",14,"Zuid-Holland",475,"Strijen"," "," ","Gemeente","Municipality"
20314,158,"NLD","Netherlands",14,"Zuid-Holland",476,"Ter Aar"," "," ","Gemeente","Municipality"
20315,158,"NLD","Netherlands",14,"Zuid-Holland",477,"Valkenburg"," "," ","Gemeente","Municipality"
20316,158,"NLD","Netherlands",14,"Zuid-Holland",478,"Vlaardingen"," "," ","Gemeente","Municipality"
20317,158,"NLD","Netherlands",14,"Zuid-Holland",479,"Vlist"," "," ","Gemeente","Municipality"
20318,158,"NLD","Netherlands",14,"Zuid-Holland",480,"Voorhout"," "," ","Gemeente","Municipality"
20319,158,"NLD","Netherlands",14,"Zuid-Holland",481,"Voorschoten"," "," ","Gemeente","Municipality"
20320,158,"NLD","Netherlands",14,"Zuid-Holland",482,"Waddinxveen"," "," ","Gemeente","Municipality"
20321,158,"NLD","Netherlands",14,"Zuid-Holland",483,"Warmond"," "," ","Gemeente","Municipality"
20322,158,"NLD","Netherlands",14,"Zuid-Holland",484,"Wassenaar"," "," ","Gemeente","Municipality"
20323,158,"NLD","Netherlands",14,"Zuid-Holland",485,"Wateringen"," "," ","Gemeente","Municipality"
20324,158,"NLD","Netherlands",14,"Zuid-Holland",486,"Westvoorne"," "," ","Gemeente","Municipality"
20325,158,"NLD","Netherlands",14,"Zuid-Holland",487,"Zederik"," "," ","Gemeente","Municipality"
20326,158,"NLD","Netherlands",14,"Zuid-Holland",488,"Zevenhuizen-Moerkapelle"," "," ","Gemeente","Municipality"
20327,158,"NLD","Netherlands",14,"Zuid-Holland",489,"Zoetermeer"," "," ","Gemeente","Municipality"
24366,158,"NLD","Netherlands",1,"Drenthe",1,"Aa en Hunze"," "," ","Gemeente","Municipality"
24367,158,"NLD","Netherlands",1,"Drenthe",2,"Assen"," "," ","Gemeente","Municipality"
24368,158,"NLD","Netherlands",1,"Drenthe",3,"Borger-Odoorn"," "," ","Gemeente","Municipality"
24369,158,"NLD","Netherlands",1,"Drenthe",4,"Coevorden"," "," ","Gemeente","Municipality"
24370,158,"NLD","Netherlands",1,"Drenthe",5,"De Wolden"," "," ","Gemeente","Municipality"
24371,158,"NLD","Netherlands",1,"Drenthe",6,"Emmen"," "," ","Gemeente","Municipality"
24372,158,"NLD","Netherlands",1,"Drenthe",7,"Hoogeveen"," "," ","Gemeente","Municipality"
24373,158,"NLD","Netherlands",1,"Drenthe",8,"Meppel"," "," ","Gemeente","Municipality"
24374,158,"NLD","Netherlands",1,"Drenthe",9,"Midden-Drenthe"," ","Middenveld","Gemeente","Municipality"
24375,158,"NLD","Netherlands",1,"Drenthe",10,"Noordenveld"," "," ","Gemeente","Municipality"
24376,158,"NLD","Netherlands",1,"Drenthe",11,"Tynaarlo"," ","Zuidlaren","Gemeente","Municipality"
24377,158,"NLD","Netherlands",1,"Drenthe",12,"Westerveld"," "," ","Gemeente","Municipality"
24378,158,"NLD","Netherlands",2,"Flevoland",13,"Almere"," "," ","Gemeente","Municipality"
24379,158,"NLD","Netherlands",2,"Flevoland",14,"Dronten"," "," ","Gemeente","Municipality"
24380,158,"NLD","Netherlands",2,"Flevoland",15,"Lelystad"," "," ","Gemeente","Municipality"
