"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
45331,158,"NLD","Netherlands",11,"Utrecht",377,"Renswoude",0," "," "," "," "," "
45332,158,"NLD","Netherlands",11,"Utrecht",378,"Rhenen",0," "," "," "," "," "
45333,158,"NLD","Netherlands",11,"Utrecht",379,"Soest",0," "," "," "," "," "
45334,158,"NLD","Netherlands",11,"Utrecht",380,"Utrecht",0," "," "," "," "," "
45335,158,"NLD","Netherlands",11,"Utrecht",381,"Veenendaal",0," "," "," "," "," "
45336,158,"NLD","Netherlands",11,"Utrecht",382,"Vianen",0," "," "," "," "," "
45337,158,"NLD","Netherlands",11,"Utrecht",383,"Wijk bij Duurstede",0," "," "," "," "," "
45338,158,"NLD","Netherlands",11,"Utrecht",384,"Woerden",0," "," "," "," "," "
45339,158,"NLD","Netherlands",11,"Utrecht",385,"Woudenberg",0," "," "," "," "," "
45340,158,"NLD","Netherlands",11,"Utrecht",386,"Zeist",0," "," "," "," "," "
45341,158,"NLD","Netherlands",12,"Zeeland",387,"Borsele",0," "," "," "," "," "
45342,158,"NLD","Netherlands",12,"Zeeland",388,"Goes",0," "," "," "," "," "
45343,158,"NLD","Netherlands",12,"Zeeland",389,"Hulst",0," "," "," "," "," "
45344,158,"NLD","Netherlands",12,"Zeeland",390,"Kapelle",0," "," "," "," "," "
45345,158,"NLD","Netherlands",12,"Zeeland",391,"Middelburg",0," "," "," "," "," "
45346,158,"NLD","Netherlands",12,"Zeeland",392,"Noord-Beveland",0," "," "," "," "," "
45347,158,"NLD","Netherlands",12,"Zeeland",393,"Reimerswaal",0," "," "," "," "," "
45348,158,"NLD","Netherlands",12,"Zeeland",394,"Schouwen-Duiveland",0," "," "," "," "," "
45349,158,"NLD","Netherlands",12,"Zeeland",395,"Sluis",0," "," "," "," "," "
45350,158,"NLD","Netherlands",12,"Zeeland",396,"Terneuzen",0," "," "," "," "," "
45351,158,"NLD","Netherlands",12,"Zeeland",397,"Tholen",0," "," "," "," "," "
45352,158,"NLD","Netherlands",12,"Zeeland",398,"Veere",0," "," "," "," "," "
45353,158,"NLD","Netherlands",12,"Zeeland",399,"Vlissingen",0," "," "," "," "," "
45354,158,"NLD","Netherlands",13,"Zeeuwse meren",400," ",0," "," "," "," "," "
45355,158,"NLD","Netherlands",14,"Zuid-Holland",401,"'s-Gravendeel",0," "," "," "," "," "
45356,158,"NLD","Netherlands",14,"Zuid-Holland",402,"'s-Gravenhage",0," "," "," "," "," "
45357,158,"NLD","Netherlands",14,"Zuid-Holland",403,"'s-Gravenzande",0," "," "," "," "," "
48424,158,"NLD","Netherlands",1,"Drenthe",1,"Aa en Hunze",0," "," "," "," "," "
48425,158,"NLD","Netherlands",1,"Drenthe",2,"Assen",0," "," "," "," "," "
48426,158,"NLD","Netherlands",1,"Drenthe",3,"Borger-Odoorn",0," "," "," "," "," "
48427,158,"NLD","Netherlands",1,"Drenthe",4,"Coevorden",0," "," "," "," "," "
48428,158,"NLD","Netherlands",1,"Drenthe",5,"De Wolden",0," "," "," "," "," "
48429,158,"NLD","Netherlands",1,"Drenthe",6,"Emmen",0," "," "," "," "," "
48430,158,"NLD","Netherlands",1,"Drenthe",7,"Hoogeveen",0," "," "," "," "," "
48431,158,"NLD","Netherlands",1,"Drenthe",8,"Meppel",0," "," "," "," "," "
48432,158,"NLD","Netherlands",1,"Drenthe",9,"Midden-Drenthe",0," "," "," "," "," "
48433,158,"NLD","Netherlands",1,"Drenthe",10,"Noordenveld",0," "," "," "," "," "
48434,158,"NLD","Netherlands",1,"Drenthe",11,"Tynaarlo",0," "," "," "," "," "
48435,158,"NLD","Netherlands",1,"Drenthe",12,"Westerveld",0," "," "," "," "," "
48436,158,"NLD","Netherlands",2,"Flevoland",13,"Almere",0," "," "," "," "," "
48437,158,"NLD","Netherlands",2,"Flevoland",14,"Dronten",0," "," "," "," "," "
48438,158,"NLD","Netherlands",2,"Flevoland",15,"Lelystad",0," "," "," "," "," "
48439,158,"NLD","Netherlands",2,"Flevoland",16,"Noordoostpolder",0," "," "," "," "," "
48440,158,"NLD","Netherlands",2,"Flevoland",17,"Urk",0," "," "," "," "," "
48441,158,"NLD","Netherlands",2,"Flevoland",18,"Zeewolde",0," "," "," "," "," "
48442,158,"NLD","Netherlands",3,"Friesland",19,"Achtkarspelen",0," "," "," "," "," "
48443,158,"NLD","Netherlands",3,"Friesland",20,"Ameland",0," "," "," "," "," "
48444,158,"NLD","Netherlands",3,"Friesland",21,"Boarnsterhim",0," "," "," "," "," "
48445,158,"NLD","Netherlands",3,"Friesland",22,"Bolsward",0," "," "," "," "," "
48446,158,"NLD","Netherlands",3,"Friesland",23,"Dantumadeel",0," "," "," "," "," "
48447,158,"NLD","Netherlands",3,"Friesland",24,"Dongeradeel",0," "," "," "," "," "
48448,158,"NLD","Netherlands",3,"Friesland",25,"Ferwerderadiel",0," "," "," "," "," "
48449,158,"NLD","Netherlands",3,"Friesland",26,"Franekeradeel",0," "," "," "," "," "
48450,158,"NLD","Netherlands",3,"Friesland",27,"Gaasterlân-Sleat",0," "," "," "," "," "
48451,158,"NLD","Netherlands",3,"Friesland",28,"Harlingen",0," "," "," "," "," "
48452,158,"NLD","Netherlands",3,"Friesland",29,"Heerenveen",0," "," "," "," "," "
48453,158,"NLD","Netherlands",3,"Friesland",30,"Het Bildt",0," "," "," "," "," "
48454,158,"NLD","Netherlands",3,"Friesland",31,"Kollumerland c.a.",0," "," "," "," "," "
48455,158,"NLD","Netherlands",3,"Friesland",32,"Leeuwarden",0," "," "," "," "," "
48456,158,"NLD","Netherlands",3,"Friesland",33,"Leeuwarderadeel",0," "," "," "," "," "
48457,158,"NLD","Netherlands",3,"Friesland",34,"Lemsterland",0," "," "," "," "," "
48458,158,"NLD","Netherlands",3,"Friesland",35,"Littenseradiel",0," "," "," "," "," "
48459,158,"NLD","Netherlands",3,"Friesland",36,"Menaldumadeel",0," "," "," "," "," "
48460,158,"NLD","Netherlands",3,"Friesland",37,"Nijefurd",0," "," "," "," "," "
48461,158,"NLD","Netherlands",3,"Friesland",38,"Ooststellingwerf",0," "," "," "," "," "
48462,158,"NLD","Netherlands",3,"Friesland",39,"Opsterland",0," "," "," "," "," "
48463,158,"NLD","Netherlands",3,"Friesland",40,"Schiermonnikoog",0," "," "," "," "," "
48464,158,"NLD","Netherlands",3,"Friesland",41,"Skarsterlân",0," "," "," "," "," "
48465,158,"NLD","Netherlands",3,"Friesland",42,"Smallingerland",0," "," "," "," "," "
48466,158,"NLD","Netherlands",3,"Friesland",43,"Sneek",0," "," "," "," "," "
48467,158,"NLD","Netherlands",3,"Friesland",44,"Terschelling",0," "," "," "," "," "
48468,158,"NLD","Netherlands",3,"Friesland",45,"Tytsjerksteradiel",0," "," "," "," "," "
48469,158,"NLD","Netherlands",3,"Friesland",46,"Vlieland",0," "," "," "," "," "
48470,158,"NLD","Netherlands",3,"Friesland",47,"Weststellingwerf",0," "," "," "," "," "
48471,158,"NLD","Netherlands",3,"Friesland",48,"Wûnseradiel",0," "," "," "," "," "
48472,158,"NLD","Netherlands",3,"Friesland",49,"Wymbritseradiel",0," "," "," "," "," "
48473,158,"NLD","Netherlands",4,"Gelderland",50,"Aalten",0," "," "," "," "," "
48474,158,"NLD","Netherlands",4,"Gelderland",51,"Angerlo",0," "," "," "," "," "
48475,158,"NLD","Netherlands",4,"Gelderland",52,"Apeldoorn",0," "," "," "," "," "
48476,158,"NLD","Netherlands",4,"Gelderland",53,"Arnhem",0," "," "," "," "," "
48477,158,"NLD","Netherlands",4,"Gelderland",54,"Barneveld",0," "," "," "," "," "
48478,158,"NLD","Netherlands",4,"Gelderland",55,"Bergh",0," "," "," "," "," "
48479,158,"NLD","Netherlands",4,"Gelderland",56,"Beuningen",0," "," "," "," "," "
48480,158,"NLD","Netherlands",4,"Gelderland",57,"Borculo",0," "," "," "," "," "
48481,158,"NLD","Netherlands",4,"Gelderland",58,"Brummen",0," "," "," "," "," "
48482,158,"NLD","Netherlands",4,"Gelderland",59,"Buren",0," "," "," "," "," "
48483,158,"NLD","Netherlands",4,"Gelderland",60,"Culemborg",0," "," "," "," "," "
48484,158,"NLD","Netherlands",4,"Gelderland",61,"Didam",0," "," "," "," "," "
48485,158,"NLD","Netherlands",4,"Gelderland",62,"Dinxperlo",0," "," "," "," "," "
48486,158,"NLD","Netherlands",4,"Gelderland",63,"Doesburg",0," "," "," "," "," "
48487,158,"NLD","Netherlands",4,"Gelderland",64,"Doetinchem",0," "," "," "," "," "
48488,158,"NLD","Netherlands",4,"Gelderland",65,"Druten",0," "," "," "," "," "
48489,158,"NLD","Netherlands",4,"Gelderland",66,"Duiven",0," "," "," "," "," "
48490,158,"NLD","Netherlands",4,"Gelderland",67,"Ede",0," "," "," "," "," "
48491,158,"NLD","Netherlands",4,"Gelderland",68,"Eibergen",0," "," "," "," "," "
48492,158,"NLD","Netherlands",4,"Gelderland",69,"Elburg",0," "," "," "," "," "
48493,158,"NLD","Netherlands",4,"Gelderland",70,"Epe",0," "," "," "," "," "
48494,158,"NLD","Netherlands",4,"Gelderland",71,"Ermelo",0," "," "," "," "," "
48495,158,"NLD","Netherlands",4,"Gelderland",72,"Geldermalsen",0," "," "," "," "," "
48496,158,"NLD","Netherlands",4,"Gelderland",73,"Gendringen",0," "," "," "," "," "
48497,158,"NLD","Netherlands",4,"Gelderland",74,"Gorssel",0," "," "," "," "," "
48498,158,"NLD","Netherlands",4,"Gelderland",75,"Groenlo",0," "," "," "," "," "
48499,158,"NLD","Netherlands",4,"Gelderland",76,"Groesbeek",0," "," "," "," "," "
48500,158,"NLD","Netherlands",4,"Gelderland",77,"Harderwijk",0," "," "," "," "," "
48501,158,"NLD","Netherlands",4,"Gelderland",78,"Hattem",0," "," "," "," "," "
48502,158,"NLD","Netherlands",4,"Gelderland",79,"Heerde",0," "," "," "," "," "
48503,158,"NLD","Netherlands",4,"Gelderland",80,"Hengelo",0," "," "," "," "," "
48504,158,"NLD","Netherlands",4,"Gelderland",81,"Heumen",0," "," "," "," "," "
48505,158,"NLD","Netherlands",4,"Gelderland",82,"Hummelo en Keppel",0," "," "," "," "," "
48506,158,"NLD","Netherlands",4,"Gelderland",83,"Kesteren",0," "," "," "," "," "
48507,158,"NLD","Netherlands",4,"Gelderland",84,"Lichtenvoorde",0," "," "," "," "," "
48508,158,"NLD","Netherlands",4,"Gelderland",85,"Lingewaal",0," "," "," "," "," "
48509,158,"NLD","Netherlands",4,"Gelderland",86,"Lingewaard",0," "," "," "," "," "
48510,158,"NLD","Netherlands",4,"Gelderland",87,"Lochem",0," "," "," "," "," "
48511,158,"NLD","Netherlands",4,"Gelderland",88,"Maasdriel",0," "," "," "," "," "
48512,158,"NLD","Netherlands",4,"Gelderland",89,"Millingen aan de Rijn",0," "," "," "," "," "
48513,158,"NLD","Netherlands",4,"Gelderland",90,"Neede",0," "," "," "," "," "
48514,158,"NLD","Netherlands",4,"Gelderland",91,"Neerijnen",0," "," "," "," "," "
48515,158,"NLD","Netherlands",4,"Gelderland",92,"Nijkerk",0," "," "," "," "," "
48516,158,"NLD","Netherlands",4,"Gelderland",93,"Nijmegen",0," "," "," "," "," "
48517,158,"NLD","Netherlands",4,"Gelderland",94,"Nunspeet",0," "," "," "," "," "
48518,158,"NLD","Netherlands",4,"Gelderland",95,"Oldebroek",0," "," "," "," "," "
48519,158,"NLD","Netherlands",4,"Gelderland",96,"Overbetuwe",0," "," "," "," "," "
48520,158,"NLD","Netherlands",4,"Gelderland",97,"Putten",0," "," "," "," "," "
48521,158,"NLD","Netherlands",4,"Gelderland",98,"Renkum",0," "," "," "," "," "
48522,158,"NLD","Netherlands",4,"Gelderland",99,"Rheden",0," "," "," "," "," "
48523,158,"NLD","Netherlands",4,"Gelderland",100,"Rijnwaarden",0," "," "," "," "," "
48524,158,"NLD","Netherlands",4,"Gelderland",101,"Rozendaal",0," "," "," "," "," "
48525,158,"NLD","Netherlands",4,"Gelderland",102,"Ruurlo",0," "," "," "," "," "
48526,158,"NLD","Netherlands",4,"Gelderland",103,"Scherpenzeel",0," "," "," "," "," "
48527,158,"NLD","Netherlands",4,"Gelderland",104,"Steenderen",0," "," "," "," "," "
48528,158,"NLD","Netherlands",4,"Gelderland",105,"Tiel",0," "," "," "," "," "
48529,158,"NLD","Netherlands",4,"Gelderland",106,"Ubbergen",0," "," "," "," "," "
48530,158,"NLD","Netherlands",4,"Gelderland",107,"Voorst",0," "," "," "," "," "
48531,158,"NLD","Netherlands",4,"Gelderland",108,"Vorden",0," "," "," "," "," "
48532,158,"NLD","Netherlands",4,"Gelderland",109,"Wageningen",0," "," "," "," "," "
48533,158,"NLD","Netherlands",4,"Gelderland",110,"Warnsveld",0," "," "," "," "," "
48534,158,"NLD","Netherlands",4,"Gelderland",111,"Wehl",0," "," "," "," "," "
48535,158,"NLD","Netherlands",4,"Gelderland",112,"West Maas en Waal",0," "," "," "," "," "
48536,158,"NLD","Netherlands",4,"Gelderland",113,"Westervoort",0," "," "," "," "," "
48537,158,"NLD","Netherlands",4,"Gelderland",114,"Wijchen",0," "," "," "," "," "
48538,158,"NLD","Netherlands",4,"Gelderland",115,"Winterswijk",0," "," "," "," "," "
48539,158,"NLD","Netherlands",4,"Gelderland",116,"Wisch",0," "," "," "," "," "
48540,158,"NLD","Netherlands",4,"Gelderland",117,"Zaltbommel",0," "," "," "," "," "
48541,158,"NLD","Netherlands",4,"Gelderland",118,"Zelhem",0," "," "," "," "," "
48542,158,"NLD","Netherlands",4,"Gelderland",119,"Zevenaar",0," "," "," "," "," "
48543,158,"NLD","Netherlands",4,"Gelderland",120,"Zutphen",0," "," "," "," "," "
48544,158,"NLD","Netherlands",5,"Groningen",121,"Appingedam",0," "," "," "," "," "
48545,158,"NLD","Netherlands",5,"Groningen",122,"Bedum",0," "," "," "," "," "
48546,158,"NLD","Netherlands",5,"Groningen",123,"Bellingwedde",0," "," "," "," "," "
48547,158,"NLD","Netherlands",5,"Groningen",124,"De Marne",0," "," "," "," "," "
48548,158,"NLD","Netherlands",5,"Groningen",125,"Delfzijl",0," "," "," "," "," "
48549,158,"NLD","Netherlands",5,"Groningen",126,"Eemsmond",0," "," "," "," "," "
48550,158,"NLD","Netherlands",5,"Groningen",127,"Groningen",0," "," "," "," "," "
48551,158,"NLD","Netherlands",5,"Groningen",128,"Grootegast",0," "," "," "," "," "
48552,158,"NLD","Netherlands",5,"Groningen",129,"Haren",0," "," "," "," "," "
48553,158,"NLD","Netherlands",5,"Groningen",130,"Hoogezand-Sappemeer",0," "," "," "," "," "
48554,158,"NLD","Netherlands",5,"Groningen",131,"Leek",0," "," "," "," "," "
48555,158,"NLD","Netherlands",5,"Groningen",132,"Loppersum",0," "," "," "," "," "
48556,158,"NLD","Netherlands",5,"Groningen",133,"Marum",0," "," "," "," "," "
48557,158,"NLD","Netherlands",5,"Groningen",134,"Menterwolde",0," "," "," "," "," "
48558,158,"NLD","Netherlands",5,"Groningen",135,"Pekela",0," "," "," "," "," "
48559,158,"NLD","Netherlands",5,"Groningen",136,"Reiderland",0," "," "," "," "," "
48560,158,"NLD","Netherlands",5,"Groningen",137,"Scheemda",0," "," "," "," "," "
48561,158,"NLD","Netherlands",5,"Groningen",138,"Slochteren",0," "," "," "," "," "
48562,158,"NLD","Netherlands",5,"Groningen",139,"Stadskanaal",0," "," "," "," "," "
48563,158,"NLD","Netherlands",5,"Groningen",140,"Ten Boer",0," "," "," "," "," "
48564,158,"NLD","Netherlands",5,"Groningen",141,"Veendam",0," "," "," "," "," "
48565,158,"NLD","Netherlands",5,"Groningen",142,"Vlagtwedde",0," "," "," "," "," "
48566,158,"NLD","Netherlands",5,"Groningen",143,"Winschoten",0," "," "," "," "," "
48567,158,"NLD","Netherlands",5,"Groningen",144,"Winsum",0," "," "," "," "," "
48568,158,"NLD","Netherlands",5,"Groningen",145,"Zuidhorn",0," "," "," "," "," "
48569,158,"NLD","Netherlands",6,"IJsselmeer",146," ",0," "," "," "," "," "
48570,158,"NLD","Netherlands",7,"Limburg",147,"Ambt Montfort",0," "," "," "," "," "
48571,158,"NLD","Netherlands",7,"Limburg",148,"Arcen en Velden",0," "," "," "," "," "
48572,158,"NLD","Netherlands",7,"Limburg",149,"Beek",0," "," "," "," "," "
48573,158,"NLD","Netherlands",7,"Limburg",150,"Beesel",0," "," "," "," "," "
48574,158,"NLD","Netherlands",7,"Limburg",151,"Bergen",0," "," "," "," "," "
48575,158,"NLD","Netherlands",7,"Limburg",152,"Brunssum",0," "," "," "," "," "
48576,158,"NLD","Netherlands",7,"Limburg",153,"Echt-Susteren",0," "," "," "," "," "
48577,158,"NLD","Netherlands",7,"Limburg",154,"Eijsden",0," "," "," "," "," "
48578,158,"NLD","Netherlands",7,"Limburg",155,"Gennep",0," "," "," "," "," "
48579,158,"NLD","Netherlands",7,"Limburg",156,"Gulpen-Wittem",0," "," "," "," "," "
48580,158,"NLD","Netherlands",7,"Limburg",157,"Haelen",0," "," "," "," "," "
48581,158,"NLD","Netherlands",7,"Limburg",158,"Heel",0," "," "," "," "," "
48582,158,"NLD","Netherlands",7,"Limburg",159,"Heerlen",0," "," "," "," "," "
48583,158,"NLD","Netherlands",7,"Limburg",160,"Helden",0," "," "," "," "," "
48584,158,"NLD","Netherlands",7,"Limburg",161,"Heythuysen",0," "," "," "," "," "
48585,158,"NLD","Netherlands",7,"Limburg",162,"Horst aan de Maas",0," "," "," "," "," "
48586,158,"NLD","Netherlands",7,"Limburg",163,"Hunsel",0," "," "," "," "," "
48587,158,"NLD","Netherlands",7,"Limburg",164,"Kerkrade",0," "," "," "," "," "
48588,158,"NLD","Netherlands",7,"Limburg",165,"Kessel",0," "," "," "," "," "
48589,158,"NLD","Netherlands",7,"Limburg",166,"Landgraaf",0," "," "," "," "," "
48590,158,"NLD","Netherlands",7,"Limburg",167,"Maasbracht",0," "," "," "," "," "
48591,158,"NLD","Netherlands",7,"Limburg",168,"Maasbree",0," "," "," "," "," "
48592,158,"NLD","Netherlands",7,"Limburg",169,"Maastricht",0," "," "," "," "," "
48593,158,"NLD","Netherlands",7,"Limburg",170,"Margraten",0," "," "," "," "," "
48594,158,"NLD","Netherlands",7,"Limburg",171,"Meerlo-Wanssum",0," "," "," "," "," "
48595,158,"NLD","Netherlands",7,"Limburg",172,"Meerssen",0," "," "," "," "," "
48596,158,"NLD","Netherlands",7,"Limburg",173,"Meijel",0," "," "," "," "," "
48597,158,"NLD","Netherlands",7,"Limburg",174,"Mook en Middelaar",0," "," "," "," "," "
48598,158,"NLD","Netherlands",7,"Limburg",175,"Nederweert",0," "," "," "," "," "
48599,158,"NLD","Netherlands",7,"Limburg",176,"Nuth",0," "," "," "," "," "
48600,158,"NLD","Netherlands",7,"Limburg",177,"Onderbanken",0," "," "," "," "," "
48601,158,"NLD","Netherlands",7,"Limburg",178,"Roerdalen",0," "," "," "," "," "
